st20250364;Oleksii;Buhutskyi;Yuriiovych;1;2025-09-01;1;f003;sp010;CONTRACT;ACTIVE;o.buhutskyi@ukma.edu.ua;+380501234654;2007-06-04;18
st20250365;Anastasiia;Bohunova;Denysivna;1;2025-09-01;1;f003;sp010;BUDGET;ACTIVE;a.bohunova@ukma.edu.ua;+380501234655;2006-01-20;19
st20250366;Anastasiia;Bilokon;Serhiivna;1;2025-09-01;1;f003;sp010;BUDGET;ACTIVE;a.bilokon@ukma.edu.ua;+380501234656;2007-09-12;17
st20250367;Oleksandra;Vladymyrova;Serhiivna;1;2025-09-01;1;f003;sp010;CONTRACT;ACTIVE;o.vladymyrova@ukma.edu.ua;+380501234657;2006-08-08;19
st20250368;Maiia;Homma;Kostiantynivna;1;2025-09-01;1;f003;sp010;CONTRACT;ACTIVE;m.homma@ukma.edu.ua;+380501234658;2007-04-01;18
st20250369;Andrii;Hordovskyi;Kostiantynovych;1;2025-09-01;1;f003;sp010;BUDGET;ACTIVE;a.hordovskyi@ukma.edu.ua;+380501234659;2006-12-25;18
st20250370;Kira;Demianiuk;Denysivna;1;2025-09-01;2;f003;sp010;BUDGET;ACTIVE;k.demianiuk@ukma.edu.ua;+380501234660;2007-11-18;17
st20250371;Mykola;Zharoid;Andriiovych;1;2025-09-01;2;f003;sp010;CONTRACT;ACTIVE;m.zharoid@ukma.edu.ua;+380501234661;2006-05-09;19
st20250372;Sofiia;Zakharova;Oleksandrivna;1;2025-09-01;2;f003;sp010;CONTRACT;ACTIVE;s.zakharova@ukma.edu.ua;+380501234662;2007-03-27;18
st20250373;Rostyslav;Zenkov;Serhiiovych;1;2025-09-01;2;f003;sp010;BUDGET;ACTIVE;r.zenkov@ukma.edu.ua;+380501234663;2006-02-14;19
st20250374;Oleksandr;Kaposhko;Oleksandrovych;1;2025-09-01;2;f003;sp010;BUDGET;ACTIVE;o.kaposhko@ukma.edu.ua;+380501234664;2007-07-21;18
st20250375;Ivan;Karavatskyi;Ivanovych;1;2025-09-01;2;f003;sp010;BUDGET;ACTIVE;i.karavatskyi@ukma.edu.ua;+380501234665;2006-09-05;18
st20250376;Oleh;Karpenko;Ihorovych;1;2025-09-01;3;f003;sp010;BUDGET;ACTIVE;o.karpenko@ukma.edu.ua;+380501234666;2007-01-30;18
st20250377;Alina;Kyrylenko;Oleksandrivna;1;2025-09-01;3;f003;sp010;BUDGET;ACTIVE;a.kyrylenko@ukma.edu.ua;+380501234667;2006-11-12;18
st20250378;Mykhailo;Kozych;Vitaliiovych;1;2025-09-01;3;f003;sp010;BUDGET;ACTIVE;m.kozych@ukma.edu.ua;+380501234668;2007-08-04;18
st20250379;Illia;Kolotusha;Olehovych;1;2025-09-01;3;f003;sp010;BUDGET;ACTIVE;i.kolotusha@ukma.edu.ua;+380501234669;2006-04-19;19
st20250380;Adelaida;Kotneko;Yevheniivna;1;2025-09-01;3;f003;sp010;BUDGET;ACTIVE;a.kotneko@ukma.edu.ua;+380501234670;2007-10-09;17
st20250381;Vladyslava;Lisova;Serhiivna;1;2025-09-01;3;f003;sp010;BUDGET;ACTIVE;v.lisova@ukma.edu.ua;+380501234671;2006-06-25;19
st20250382;Marharyta;Lopushanska;Sviatoslavivna;1;2025-09-01;4;f003;sp010;BUDGET;ACTIVE;m.lopushanska@ukma.edu.ua;+380501234672;2007-02-05;18
st20250383;Oleksandr;Maksymenko;Serhiiovych;1;2025-09-01;4;f003;sp010;CONTRACT;ACTIVE;o.maksymenko@ukma.edu.ua;+380501234673;2006-01-11;19
st20250384;Olha;Maletina;Hryhorivna;1;2025-09-01;4;f003;sp010;BUDGET;ACTIVE;o.maletina@ukma.edu.ua;+380501234674;2007-05-29;18
st20250385;Nataliia;Melnyk;Viktorivna;1;2025-09-01;4;f003;sp010;BUDGET;ACTIVE;n.melnyk@ukma.edu.ua;+380501234675;2006-12-02;18
st20250386;Anastasiia;Merkulova;Antonivna;1;2025-09-01;4;f003;sp010;BUDGET;ACTIVE;a.merkulova@ukma.edu.ua;+380501234676;2007-09-17;17
st20250387;Kateryna;Myroniuk;Vitaliivna;1;2025-09-01;4;f003;sp010;BUDGET;ACTIVE;k.myroniuk@ukma.edu.ua;+380501234677;2006-08-22;19
st20250388;Yaroslav;Mudryi;Olehovych;1;2025-09-01;5;f003;sp010;CONTRACT;ACTIVE;y.mudryi@ukma.edu.ua;+380501234678;2007-03-08;18
st20250389;Levko;Pedchenko;Borysovych;1;2025-09-01;5;f003;sp010;BUDGET;ACTIVE;l.pedchenko@ukma.edu.ua;+380501234679;2006-10-31;18
st20250390;Anna;Pertsova;Viacheslavivna;1;2025-09-01;5;f003;sp010;CONTRACT;ACTIVE;a.pertsova@ukma.edu.ua;+380501234680;2007-07-14;18
st20250391;Denys;Plakhtii;Hennadiiovych;1;2025-09-01;5;f003;sp010;CONTRACT;ACTIVE;d.plakhtii@ukma.edu.ua;+380501234681;2006-05-03;19
st20250392;Diana;Protsiuk;Oleksandrivna;1;2025-09-01;5;f003;sp010;BUDGET;ACTIVE;d.protsiuk@ukma.edu.ua;+380501234682;2007-11-26;17
st20250393;Kateryna;Rudenko;Dmytrivna;1;2025-09-01;5;f003;sp010;BUDGET;ACTIVE;k.rudenko@ukma.edu.ua;+380501234683;2006-02-18;19
st20250394;Arsen;Savenko;Andriiovych;1;2025-09-01;6;f003;sp010;BUDGET;ACTIVE;a.savenko@ukma.edu.ua;+380501234684;2007-04-10;18
st20250395;Illia;Semeniuk;Oleksandrovych;1;2025-09-01;6;f003;sp010;CONTRACT;ACTIVE;i.semeniuk@ukma.edu.ua;+380501234685;2006-12-08;18
st20250396;Dasha;Soldatenko;Serhiivna;1;2025-09-01;6;f003;sp010;BUDGET;ACTIVE;d.soldatenko@ukma.edu.ua;+380501234686;2007-08-16;18
st20250397;Oleksandr;Stroievyi;Serhiiovych;1;2025-09-01;6;f003;sp010;BUDGET;ACTIVE;o.stroievyi@ukma.edu.ua;+380501234687;2006-06-02;19
st20250398;Maksym;Ulchenko;Serhiiovych;1;2025-09-01;6;f003;sp010;CONTRACT;ACTIVE;m.ulchenko@ukma.edu.ua;+380501234688;2007-01-22;18
st20250399;Anton;Usatenko;Yuriiovych;1;2025-09-01;6;f003;sp010;BUDGET;ACTIVE;a.usatenko@ukma.edu.ua;+380501234689;2006-09-14;18
st20250400;Kyrylo;Usatenko;Denysovych;1;2025-09-01;6;f003;sp010;BUDGET;ACTIVE;k.usatenko@ukma.edu.ua;+380501234690;2007-10-28;17
st20250401;Mariia;Furmanova;Oleksandrivna;1;2025-09-01;6;f003;sp010;CONTRACT;ACTIVE;m.furmanova@ukma.edu.ua;+380501234691;2006-03-05;19
st20250402;Yehor;Khrystevych;Kostiantynovych;1;2025-09-01;6;f003;sp010;CONTRACT;ACTIVE;y.khrystevych@ukma.edu.ua;+380501234692;2007-05-11;18
st20250403;Anna;Tsepkalova;Andriivna;1;2025-09-01;6;f003;sp010;BUDGET;ACTIVE;a.tsepkalova@ukma.edu.ua;+380501234693;2006-11-20;18
st20250404;Kateryna;Shapoval;Valeriivna;1;2025-09-01;6;f003;sp010;BUDGET;ACTIVE;k.shapoval@ukma.edu.ua;+380501234694;2007-07-03;18
st20250405;Marharyta;Yurchenko;Vasylivna;1;2025-09-01;6;f003;sp010;BUDGET;ACTIVE;m.yurchenko@ukma.edu.ua;+380501234695;2006-01-29;19
st20250406;Daria;Yatsiuk;Oleksandrivna;1;2025-09-01;6;f003;sp010;BUDGET;ACTIVE;d.yatsiuk@ukma.edu.ua;+380501234696;2007-02-15;18


st20250407;Viktoriia;Bekalo;Volodymyrivna;1;2025-09-01;1;f003;sp011;BUDGET;ACTIVE;v.bekalo@ukma.edu.ua;+380501234697;2006-08-01;19
st20250408;Antonina;Bondarenko;Andriivna;1;2025-09-01;1;f003;sp011;BUDGET;ACTIVE;a.bondarenko@ukma.edu.ua;+380501234698;2007-09-08;17
st20250409;Anastasiia;Bratash;Oleksiivna;1;2025-09-01;1;f003;sp011;CONTRACT;ACTIVE;a.bratash@ukma.edu.ua;+380501234699;2006-12-13;18
st20250410;Yevhenii;Vasylenko;Leonidovych;1;2025-09-01;1;f003;sp011;BUDGET;ACTIVE;y.vasylenko@ukma.edu.ua;+380501234700;2007-04-26;18
st20250411;Ostap;Verbylo;Yuriiovych;1;2025-09-01;1;f003;sp011;BUDGET;ACTIVE;o.verbylo@ukma.edu.ua;+380501234701;2006-06-18;19
st20250412;Diana;Voloshchuk;Serhiivna;1;2025-09-01;1;f003;sp011;BUDGET;ACTIVE;d.voloshchuk@ukma.edu.ua;+380501234702;2007-11-09;17
