st20250722;Oleksii;Semenii;Vitaliiovych;1;2025-09-01;1;f006;sp020;BUDGET;ACTIVE;o.semenii@ukma.edu.ua;+380501235012;2006-03-22;19
st20250723;Anastasiia;Selianinova;Oleksandrivna;1;2025-09-01;1;f006;sp020;BUDGET;ACTIVE;a.selianinova@ukma.edu.ua;+380501235013;2007-08-11;18
st20250724;Illia;Chaikovskyi;Maksymovych;1;2025-09-01;1;f006;sp020;BUDGET;ACTIVE;i.chaikovskyi@ukma.edu.ua;+380501235014;2006-05-14;19
st20250725;Lesia;Kasianenko;Oleksiivna;1;2025-09-01;1;f006;sp020;BUDGET;ACTIVE;l.kasianenko@ukma.edu.ua;+380501235015;2007-02-28;18
st20250726;Viktoriia;Kharchenko;Anatoliivna;1;2025-09-01;1;f006;sp020;BUDGET;ACTIVE;v.kharchenko@ukma.edu.ua;+380501235016;2006-12-05;18
st20250727;Artur;Kozlovskyi;Andriiovych;1;2025-09-01;2;f006;sp020;BUDGET;ACTIVE;a.kozlovskyi@ukma.edu.ua;+380501235017;2007-04-19;18
st20250728;Sofiia;Boklan;Valeriivna;1;2025-09-01;2;f006;sp020;BUDGET;ACTIVE;s.boklan@ukma.edu.ua;+380501235018;2006-11-20;18
st20250729;Maryna;Yakovenko;Viktorivna;1;2025-09-01;2;f006;sp020;BUDGET;ACTIVE;m.yakovenko@ukma.edu.ua;+380501235019;2007-09-11;17
st20250730;Yaryna;Predzymyrska;Vasylivna;1;2025-09-01;2;f006;sp020;BUDGET;ACTIVE;y.predzymyrska@ukma.edu.ua;+380501235020;2006-01-08;19
st20250731;Yevheniia;Fau;Yevheniivna;1;2025-09-01;2;f006;sp020;BUDGET;ACTIVE;y.fau@ukma.edu.ua;+380501235021;2007-07-14;18
st20250732;Nataliia;Khomenko;Ihorivna;1;2025-09-01;3;f006;sp020;BUDGET;ACTIVE;n.khomenko@ukma.edu.ua;+380501235022;2006-10-27;18
st20250733;Oksana;Sotina;Andriivna;1;2025-09-01;3;f006;sp020;BUDGET;ACTIVE;o.sotina@ukma.edu.ua;+380501235023;2007-03-31;18
st20250734;Leonid;Polishchuk;Viacheslavovych;1;2025-09-01;3;f006;sp020;CONTRACT;ACTIVE;l.polishchuk@ukma.edu.ua;+380501235024;2006-08-16;19
